                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1044,                 4.2995,                 1.4479,                      0,                      0,                      0,                      0,                  1.522,                 4.0618,                 2.4876,                  5e-05,                  5e-05,                  5e-05
                      2,                0.86823,                 4.2493,                 1.3259,                      0,                      0,                      0,                      0,                  1.371,                 4.0718,                 2.3525,             0.00010149,             0.00010149,             0.00010149
                      3,                 0.7584,                 4.1452,                 1.2369,                      0,                      0,                      0,                      0,                 1.3366,                 4.0498,                 2.2585,             0.00015193,             0.00015193,             0.00015193
                      4,                0.75958,                 4.0106,                 1.2371,                0.02465,                0.08796,                   0.05,                0.03015,                 1.5982,                 3.9506,                 2.4223,             0.00020134,             0.00020134,             0.00020134
                      5,                 0.7802,                 3.8445,                 1.2327,                0.01379,                0.16852,                0.09348,                0.05401,                  1.459,                 3.8225,                 2.3148,              0.0002401,              0.0002401,              0.0002401
                      6,                0.73726,                 3.7066,                 1.2117,                0.01746,                0.41019,                0.13299,                0.07768,                 1.4612,                 3.6709,                 2.2725,             0.00023763,             0.00023763,             0.00023763
                      7,                0.74354,                 3.6168,                 1.2243,                0.84437,                0.04022,                0.11651,                0.05463,                 1.4891,                 3.6396,                 2.3768,             0.00023515,             0.00023515,             0.00023515
                      8,                0.74117,                 3.4351,                 1.2124,                0.68215,                0.19399,                 0.2175,                0.11746,                 1.3737,                 3.4497,                 2.2119,             0.00023268,             0.00023268,             0.00023268
                      9,                0.77672,                 3.3003,                 1.2362,                0.81379,                0.10435,                0.24716,                0.12209,                 1.4147,                 3.3792,                  2.254,              0.0002302,              0.0002302,              0.0002302
                     10,                0.77801,                 3.2058,                 1.2319,                 0.7276,                 0.1595,                0.31531,                 0.1725,                 1.4922,                 3.7032,                 2.2901,             0.00022773,             0.00022773,             0.00022773
                     11,                0.72638,                 3.1032,                 1.2145,                0.69891,                0.13704,                0.28163,                0.13359,                 1.4951,                 3.5703,                 2.4021,             0.00022525,             0.00022525,             0.00022525
                     12,                0.76135,                 3.0379,                 1.2188,                0.65271,                0.20577,                0.29578,                0.12952,                 1.5128,                 3.4331,                 2.3329,             0.00022278,             0.00022278,             0.00022278
                     13,                0.78227,                 2.8688,                 1.2213,                0.55096,                0.26995,                0.38301,                0.15965,                  1.458,                 3.2006,                 2.3369,              0.0002203,              0.0002203,              0.0002203
                     14,                0.78918,                 2.7976,                 1.2496,                0.54759,                0.29352,                0.43509,                0.16767,                 1.6085,                 3.2339,                  2.515,             0.00021782,             0.00021782,             0.00021782
                     15,                0.77196,                 2.6878,                 1.2233,                0.46706,                0.26932,                0.37924,                0.17558,                 1.7507,                 2.7857,                 2.5806,             0.00021535,             0.00021535,             0.00021535
                     16,                0.75212,                 2.5932,                 1.2077,                0.71182,                0.31667,                0.47855,                0.26667,                 1.6434,                 2.9527,                 2.5539,             0.00021288,             0.00021288,             0.00021288
                     17,                0.78434,                 2.5356,                 1.2209,                0.48632,                0.44241,                0.51298,                0.28202,                 1.7052,                  2.823,                 2.5346,              0.0002104,              0.0002104,              0.0002104
                     18,                0.72175,                 2.4541,                 1.1949,                0.41698,                0.45783,                0.53151,                0.28193,                 1.6784,                 2.7186,                  2.505,             0.00020792,             0.00020792,             0.00020792
                     19,                0.74183,                 2.3575,                 1.1898,                 0.4532,                0.47866,                0.50993,                 0.2993,                 1.5847,                 2.6288,                  2.419,             0.00020545,             0.00020545,             0.00020545
                     20,                0.68402,                 2.2835,                 1.1625,                 0.6165,                0.40633,                0.52275,                0.29285,                 1.6518,                 2.6403,                 2.4653,             0.00020298,             0.00020298,             0.00020298
                     21,                0.76059,                 2.2396,                 1.1795,                0.52983,                0.46237,                0.51776,                0.28253,                  1.632,                 2.6237,                 2.3601,              0.0002005,              0.0002005,              0.0002005
                     22,                  0.742,                 2.1602,                 1.1765,                0.48635,                0.46045,                0.56801,                0.32401,                 1.6558,                 2.7088,                 2.4108,             0.00019803,             0.00019803,             0.00019803
                     23,                0.69791,                 2.0876,                 1.1712,                0.45151,                0.59537,                0.58368,                0.30601,                 1.8762,                 2.4762,                 2.7446,             0.00019555,             0.00019555,             0.00019555
                     24,                0.68143,                 2.0613,                 1.1413,                0.51622,                   0.55,                0.62066,                0.34197,                 1.6033,                 2.1348,                 2.4163,             0.00019307,             0.00019307,             0.00019307
                     25,                0.69483,                 1.9587,                 1.1684,                0.64234,                 0.4718,                0.64079,                0.36319,                 1.6308,                 2.0939,                 2.3853,              0.0001906,              0.0001906,              0.0001906
                     26,                0.69759,                 1.9344,                 1.1537,                0.54201,                0.55867,                0.64136,                0.34095,                 1.6005,                 2.1185,                 2.3569,             0.00018812,             0.00018812,             0.00018812
                     27,                0.69402,                 1.8762,                  1.144,                0.60497,                0.50882,                0.65013,                0.37742,                 1.4689,                 2.2649,                 2.2081,             0.00018565,             0.00018565,             0.00018565
                     28,                 0.6814,                 1.8019,                 1.1399,                0.57693,                0.46861,                0.60743,                0.36296,                 1.4751,                 2.2508,                 2.2624,             0.00018318,             0.00018318,             0.00018318
